identifier,author,name,genre,text,url,ipfsHash,type,usageInfo,txHash,iscnId
1,元結,賊退示官吏并序,五言古詩,昔歲逢太平，山林二十年。泉源在庭戶，洞壑當門前。井稅有常期，日晏猶得眠。忽然遭世變，數歲親戎旃。今來典斯郡，山夷又紛然。城小賊不屠，人貧傷可憐。是以陷鄰境，此州獨得全。使臣將王命，豈不如賊焉。令彼徵歛者，迫之如火煎。誰能絕人命，以作時世賢。思欲委符節，引竿自刺船。將家就魚麥，歸老江湖邊。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000001&id=00000001,QmZzA5DBxXAThUsdCgjStyxLGUa2xw3PpBs4fj6D6tuy7t,CreativeWork,No Rights Reserved,C75B2BD9C79A83670C49F97522E7670CBB7E4892CAC26D5F09E5913C57870E5C,iscn://likecoin-chain/9MewrmZqHT55nJLtW7EGqo8szOwKtp42AmhKyhWrImw/1
2,元結,石魚湖上醉歌并序,七言古詩,石魚湖，似洞庭，夏水欲滿君山青。山為樽，水為沼，酒徒歷歷坐洲鳥。長風連日作大浪，不能廢人運酒舫。我持長瓢坐巴邱，酌飲四座以散愁。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000001&id=00000002,QmVvH7gMXMXHwm5vQDAx1QWWGXS1vyp9nG8wtcVFxRH9kw,CreativeWork,No Rights Reserved,3E602E7AC22A24A083E7107DB297A2B103B6C74EF636C78D8F06E33C45CA589E,iscn://likecoin-chain/mhabYWUilTI5t0Q3kEiMVpNAES8R18flzmybVIUVDS0/1
3,元稹,遣悲懷三首之一,七言律詩,謝公最小偏憐女，自嫁黔婁百事乖。顧我無衣搜藎篋，泥他沽酒拔金釵。野蔬充膳甘長藿，落葉添薪仰古槐。今日俸錢過十萬，與君營奠復營齋。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000002&id=00000003,QmaDdrcuw198GozDREaw2cUQoyxZQhaFF3GFdodayzZGvA,CreativeWork,No Rights Reserved,38A5C2154AD0E142884E086FF31BA186033A452B7E71096C27101744DDB1F19D,iscn://likecoin-chain/EB-KKuKWLdAf22GHSwtNUyPSGNK2spdNHOZLeiTnElM/1
4,元稹,遣悲懷三首之二,七言律詩,昔日戲言身後事，今朝都到眼前來。衣裳已施行看盡，針線猶存未忍開。尚想舊情憐婢僕，也曾因夢送錢財。誠知此恨人人有，貧賤夫妻百事哀。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000002&id=00000004,QmXND3BK1TPY1V3KxMeizn6A7FThv7avmy2rQ9C1D5iQMm,CreativeWork,No Rights Reserved,9E0E9C5D4E84E6A9C8BBE49874654FA175A7ED08AC0A61573526CEBDE68051BE,iscn://likecoin-chain/Hb872E7Q-GvsCwxULm4TTI8DAgiRsTjeb5vtUrtJQLc/1
5,元稹,遣悲懷三首之三,七言律詩,閒坐悲君亦自悲，百年都是幾多時？鄧攸無子尋知命，潘岳悼亡猶費詞。同穴窅冥何所望，他生緣會更難期。唯將終夜長開眼，報答平生未展眉。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000002&id=00000005,Qmdid2Whpvvh14W7bfbAeXwHXergvWbFFVRuH3uDG9RBLV,CreativeWork,No Rights Reserved,56695BF32A113D70532E7CAE599CD7F338000F0454C6761A472197061937104C,iscn://likecoin-chain/BQPTrdYx-abOl0_tEVr5IRi3HlWE9iREHhIvBb8OCqI/1
6,元稹,行宮,五言絕句,寥落古行宮，宮花寂寞紅。白頭宮女在，閒坐說玄宗。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000002&id=00000006,QmV5mVEm5RShhEH8EKDmywu4CU4AMcCDfJM1y9zwfJ1rBW,CreativeWork,No Rights Reserved,2C5F0449F1907E652465E7E817BA1D4F59E9CD7BAB99BA0E89BA6DC8B5827FCC,iscn://likecoin-chain/LuVetllOEgo1gYUfBtp7VZYd55tou4pVQ0t8b2u6q0E/1
7,王之渙,登鸛鵲樓,五言絕句,白日依山盡，黃河入海流。欲窮千里目，更上一層樓。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000003&id=00000007,Qmdm2QWMeXSVEcJFuGknmAoMAnzrW36eMHnB6yauXYMsDu,CreativeWork,No Rights Reserved,4038CBD06B241D3BECC84FDA73133542DC641C6904ECA3420B3D62EE0893F752,iscn://likecoin-chain/c2lIAnGKJj507ulm8yCAKqx9KhLAaccL88vKYyT09TE/1
8,王之渙,出塞,樂府,黃河遠上白雲間，一片孤城萬仞山。羌笛何須怨楊柳，春風不度玉門關。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000003&id=00000008,QmY8dgER9MYGvKjQ1Bd4jGPcUxcWX56SDJS9dTkMhBSVBx,CreativeWork,No Rights Reserved,06D98C1958AA6D7732154BC59F76F5E181958BCC44E3A81084BDBF732C46AC29,iscn://likecoin-chain/J7tjEyNW-E3gSIDP6ibXjnYdlXyF075j6KpFlcm7BV4/1
9,王昌齡,同從弟南齋翫月憶山陰崔少府,五言古詩,高臥南齋時，開帷月初吐。清輝淡水木，演漾在窗戶。苒苒幾盈虛，澄澄變今古。美人清江畔，是夜越吟苦。千里其如何，微風吹蘭杜。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000004&id=00000009,QmVPC3UP7ykEEMb4dDfxLidBqVqrZFHzQm1TBPe23CdH1N,CreativeWork,No Rights Reserved,34FFA9F712644584A2D1EB7E02757F047C29542BF7B46E29622691E2A02BC4BF,iscn://likecoin-chain/lZlSuDoPwMWWf2-hFH1r9oEY2ym9TTYJelnN4th0QDk/1
10,王昌齡,塞上曲,樂府,蟬鳴桑樹間，八月蕭關道。出塞復入塞，處處黃蘆草。從來幽并客，皆向沙場老。莫作游俠兒，矜誇紫騮好。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000004&id=00000010,QmZEjaJEjFKTMTp1aGjNKBGDgg9vjsWzn1X9xK7eNpkbzg,CreativeWork,No Rights Reserved,0010A9142DA52F397E183266AA83FE2C21088821A34ABA3F658E0820922CE72D,iscn://likecoin-chain/9-VSdjyxzUh68pK3lvDRNABVXIpZ6Kso5fVAO3oDBUg/1
